hotel_name,user_name,country,room_info,no_of_nights_stayed,stay_date,traveller_type,review_title,rating,happy_review,unhappy_review,review_date,scraped_at
Ascott Raffles Place Singapore,Luis,Portugal,Cutler Suite,1.0,2022-12-01,Couple,Exceptional,10.0,"room very spacious and clean, great location",the night receptionist was unpleasant and not welcoming,12/12/2022,10/02/2024
Ascott Raffles Place Singapore,Thi,Australia,Cutler Suite,4.0,2024-01-01,Group,Excellent place,8.0,It was in a good location. The staff was very friendly and helpful.,,29/01/2024,10/02/2024
Ascott Raffles Place Singapore,Kath,Australia,Cutler Suite,1.0,2024-01-01,Family,A good place to stay in a great location,8.0,"The room was spacious, quiet and clean. The bathroom was wheelchair accessible.",There was not shower chair in the bathroom for my daughter. We could have asked but we stayed only the one night so did not bother.The breakfast was good but not great. I would have thought for the price there might have been a larger selection and the food in the Bain marie was not hot.,16/01/2024,10/02/2024
Ascott Raffles Place Singapore,Mahendra,India,Cutler Suite,6.0,2024-01-01,Group,Good,7.0,Location,Lack of room service,04/01/2024,10/02/2024
Ascott Raffles Place Singapore,Sarah,United Kingdom,Cutler Suite,2.0,2024-01-01,Group,Excellent,9.0,"Comfy, located wellReception staff were lovely Really welcomed the bag storage and shower after a long day before travelling on",Only one mirror which was in the bathroom,02/01/2024,10/02/2024
Ascott Raffles Place Singapore,Raoul,Denmark,Cutler Suite,2.0,2024-01-01,Family,FINE STAY FOR OUR LAST STOP BEFORE FLYING BACK HOME,8.0,Location is great. In walking distance from Marina Sands Bay Area.,Pool was (too) cold.,02/01/2024,10/02/2024
Ascott Raffles Place Singapore,John,Singapore,Collyer Suite,4.0,2023-12-01,Family,Convenient stay,9.0,"The room amenities were complete. It had a freezer / fridge, pans, utensils, plates, bread toaster, water purifier, and washer/dryer. I like water purifier the most as I don't need to order water from the guest services, I just have to fill in the purifier to have a potable water.  I also like the washer/dryer, we didn't pack a lot of clothes and utilized the washer/dryer -- takes around 4 hrs per load, but you can leave it open while you're away.It is very near MRT station from Red/Green line and Blue line. Very accessible since it is in the heart of the city.Very near Lau Pa Sat for food.",The room smells old.The living room TV wifi is flaky.The TV in the bedroom had no wifi and the off switch from the remote doesn't work. You have to unplug the TV from the socket.,30/12/2023,10/02/2024
Ascott Raffles Place Singapore,Camilia,New Zealand,Cutler Suite,3.0,2023-12-01,Couple,"Very comfortable room, great facilities, friendly and helpful staff, and beautiful lobby with free coffee/tea.",9.0,"Close to most of the touristy places, within the financial district, and cpnveniently located close to hawker centre and restsurants and 7Elevn and MRT station entrances. The room had nespresso machine and capsules, TWG teas, a good sized fridge, hairdryer, good ized wardrobe space, big bathroom sink. Staff were wonderfully helpful and friendly.",The washing machine with dryer has a useless drying function. My clothes were still damp after 3.5 hrs of running the dryer! Finally sought the help of front desk who took my damp clothes to dry in the basement dryer for 45mins as I had a cruise ship to catch.,30/12/2023,10/02/2024
Ascott Raffles Place Singapore,Riberu,Indonesia,Cutler Suite,3.0,2023-12-01,Family,Superb,9.0,"Hotel, staff, location",The door in one room hard to open & close,27/12/2023,10/02/2024
Ascott Raffles Place Singapore,Abdulaziz,Saudi Arabia,Cutler Suite,4.0,2023-12-01,Solo traveller,Very good,8.0,Location Wonderful and extremely nice staff,Breakfast,22/12/2023,10/02/2024
